Feature,Label,Precision,Recall,F1-Score,Support
lag1_freq_699_0,1.0,0.29,0.04,0.08,89
lag1_freq_699_0,2.0,0.47,0.87,0.61,76
lag1_freq_699_0,Average,0.41333333333333333,,,
lag1_freq_709_0,0.0,0.48,0.52,0.5,83
lag1_freq_709_0,1.0,0.45,0.06,0.1,89
lag1_freq_709_0,2.0,0.46,0.89,0.61,76
lag1_freq_709_0,Average,0.4633333333333333,,,
lag1_freq_720_0,0.0,0.49,0.49,0.49,83
lag1_freq_720_0,1.0,0.47,0.08,0.13,89
lag1_freq_720_0,2.0,0.46,0.89,0.6,76
lag1_freq_720_0,Average,0.47333333333333333,,,
lag1_freq_730_0,0.0,0.5,0.51,0.5,83
lag1_freq_730_0,1.0,0.42,0.09,0.15,89
lag1_freq_730_0,2.0,0.47,0.89,0.62,76
lag1_freq_730_0,Average,0.4633333333333333,,,
lag1_freq_740_0,0.0,0.54,0.53,0.54,83
lag1_freq_740_0,1.0,0.48,0.11,0.18,89
lag1_freq_740_0,2.0,0.44,0.84,0.58,76
lag1_freq_740_0,Average,0.48666666666666664,,,
lag1_freq_750_0,0.0,0.5,0.53,0.51,83
lag1_freq_750_0,1.0,0.7,0.08,0.14,89
lag1_freq_750_0,2.0,0.45,0.88,0.59,76
lag1_freq_750_0,Average,0.5499999999999999,,,
lag1_freq_030_1,0.0,0.48,0.6,0.53,83
lag1_freq_030_1,1.0,0.53,0.37,0.44,89
lag1_freq_030_1,2.0,0.7,0.75,0.72,76
lag1_freq_030_1,Average,0.57,,,
lag1_freq_041_1,0.0,0.49,0.64,0.55,83
lag1_freq_041_1,1.0,0.52,0.16,0.24,89
lag1_freq_041_1,2.0,0.51,0.76,0.61,76
lag1_freq_041_1,Average,0.5066666666666667,,,
lag1_freq_051_1,0.0,0.52,0.71,0.6,83
lag1_freq_051_1,1.0,0.61,0.16,0.25,89
lag1_freq_051_1,2.0,0.53,0.78,0.63,76
lag1_freq_051_1,Average,0.5533333333333333,,,
lag1_freq_061_1,0.0,0.51,0.72,0.6,83
lag1_freq_061_1,1.0,0.55,0.07,0.12,89
lag1_freq_061_1,2.0,0.5,0.79,0.62,76
lag1_freq_061_1,Average,0.52,,,
lag1_freq_071_1,0.0,0.49,0.58,0.53,83
lag1_freq_071_1,1.0,0.35,0.08,0.13,89
lag1_freq_071_1,2.0,0.45,0.78,0.57,76
lag1_freq_071_1,Average,0.43,,,
lag1_freq_091_1,0.0,0.49,0.6,0.54,83
lag1_freq_091_1,1.0,0.36,0.04,0.08,89
lag1_freq_091_1,2.0,0.47,0.83,0.6,76
lag1_freq_091_1,Average,0.43999999999999995,,,
lag1_freq_101_1,0.0,0.53,0.69,0.6,83
lag1_freq_101_1,1.0,0.67,0.04,0.08,89
lag1_freq_101_1,2.0,0.47,0.83,0.6,76
lag1_freq_101_1,Average,0.5566666666666668,,,
lag1_freq_111_1,0.0,0.53,0.63,0.57,83
lag1_freq_111_1,1.0,0.36,0.04,0.08,89
lag1_freq_111_1,2.0,0.46,0.84,0.6,76
lag1_freq_111_1,Average,0.45,,,
lag1_freq_122_1,0.0,0.44,0.45,0.44,83
lag1_freq_122_1,1.0,0.52,0.13,0.21,89
lag1_freq_122_1,2.0,0.42,0.78,0.54,76
lag1_freq_122_1,Average,0.45999999999999996,,,
lag1_freq_132_1,0.0,0.44,0.57,0.5,83
lag1_freq_132_1,1.0,0.0,0.0,0.0,89
lag1_freq_132_1,2.0,0.43,0.76,0.55,76
lag1_freq_132_1,Average,0.29,,,
lag1_freq_142_1,0.0,0.48,0.54,0.51,83
lag1_freq_142_1,1.0,0.25,0.02,0.04,89
lag1_freq_142_1,2.0,0.43,0.83,0.57,76
lag1_freq_142_1,Average,0.38666666666666666,,,
lag1_freq_152_1,0.0,0.52,0.54,0.53,83
lag1_freq_152_1,1.0,0.45,0.15,0.22,89
lag1_freq_152_1,2.0,0.47,0.82,0.59,76
lag1_freq_152_1,Average,0.48,,,
lag1_freq_162_1,0.0,0.43,0.51,0.47,83
lag1_freq_162_1,1.0,0.18,0.02,0.04,89
lag1_freq_162_1,2.0,0.42,0.78,0.55,76
lag1_freq_162_1,Average,0.3433333333333333,,,
lag1_freq_172_1,0.0,0.54,0.58,0.56,83
lag1_freq_172_1,1.0,0.53,0.48,0.51,89
lag1_freq_172_1,2.0,0.77,0.79,0.78,76
lag1_freq_172_1,Average,0.6133333333333334,,,
lag1_freq_182_1,0.0,0.49,0.41,0.45,83
lag1_freq_182_1,1.0,0.46,0.52,0.49,89
lag1_freq_182_1,2.0,0.64,0.67,0.65,76
lag1_freq_182_1,Average,0.5299999999999999,,,
lag1_freq_193_1,0.0,0.54,0.59,0.56,83
